ablation_mode,complex_id,ligand_id,denticity,n_donors,all_correct_top1
full_context,tmqm_345,L1,dent=1,1,1
full_context,tmqm_346,L1,dent=1,1,1
full_context,tmqm_346,L6,dent=1,1,1
full_context,tmqm_347,L2,dent=1,1,0
full_context,tmqm_347,L3,dent=1,1,0
full_context,tmqm_348,L1,dent=2,2,1
full_context,tmqm_349,L1,dent=1,1,1
full_context,tmqm_349,L2,dent=1,1,1
full_context,tmqm_350,L2,dent=1,1,0
full_context,tmqm_350,L1,dent=1,1,1
full_context,tmqm_351,L2,dent=1,1,1
full_context,tmqm_351,L1,dent=1,1,1
full_context,tmqm_352,L1,dent=1,1,1
full_context,tmqm_352,L4,dent=1,1,1
full_context,tmqm_353,L3,dent=1,1,1
full_context,tmqm_353,L2,dent=1,1,0
full_context,tmqm_354,L2,dent=2,2,1
full_context,tmqm_355,L1,dent=2,2,1
full_context,tmqm_356,L2,dent=2,2,0
full_context,tmqm_357,L4,dent=1,1,1
full_context,tmqm_357,L2,dent=1,1,1
full_context,tmqm_358,L1,dent=1,1,1
full_context,tmqm_358,L3,dent=1,1,1
full_context,tmqm_359,L1,dent=1,1,1
full_context,tmqm_359,L2,dent=1,1,1
full_context,tmqm_360,L1,dent=2,2,1
full_context,tmqm_361,L1,dent=2,2,1
full_context,tmqm_362,L1,dent=1,1,1
full_context,tmqm_362,L2,dent=1,1,1
full_context,tmqm_363,L1,dent=2,2,0
full_context,tmqm_364,L3,dent=1,1,1
full_context,tmqm_364,L2,dent=1,1,1
full_context,tmqm_365,L1,dent=2,2,1
full_context,tmqm_366,L2,dent=1,1,1
full_context,tmqm_366,L1,dent=1,1,1
full_context,tmqm_367,L2,dent=1,1,1
full_context,tmqm_367,L1,dent=1,1,0
full_context,tmqm_368,L2,dent=1,1,0
full_context,tmqm_368,L1,dent=1,1,1
full_context,tmqm_369,L2,dent=1,1,1
full_context,tmqm_369,L3,dent=1,1,1
full_context,tmqm_370,L2,dent=1,1,0
full_context,tmqm_370,L3,dent=1,1,0
full_context,tmqm_371,L1,dent=1,1,1
full_context,tmqm_371,L2,dent=1,1,1
full_context,tmqm_372,L1,dent=2,2,0
full_context,tmqm_373,L1,dent=1,1,1
full_context,tmqm_373,L2,dent=1,1,1
full_context,tmqm_374,L1,dent=1,1,1
full_context,tmqm_374,L2,dent=1,1,1
full_context,tmqm_375,L1,dent=1,1,1
full_context,tmqm_375,L2,dent=1,1,1
full_context,tmqm_376,L2,dent=1,1,1
full_context,tmqm_376,L5,dent=1,1,0
full_context,tmqm_377,L4,dent=1,1,1
full_context,tmqm_377,L1,dent=1,1,1
full_context,tmqm_378,L1,dent=1,1,0
full_context,tmqm_378,L5,dent=1,1,0
full_context,tmqm_379,L1,dent=2,2,0
full_context,tmqm_380,L1,dent=2,2,1
full_context,tmqm_381,L4,dent=1,1,1
full_context,tmqm_381,L3,dent=1,1,1
