refcode,n_metals,is_polymeric,has_disorder,old_record_generated,scope_class
KEVZUH,9,True,False,True,molecular_multinuclear_supported
IDERUE,2,False,False,True,molecular_multinuclear_supported
JIVTEQ,6,True,False,True,molecular_multinuclear_supported
PINMUX,2,False,True,True,molecular_multinuclear_supported
QILYAO,2,False,False,True,molecular_multinuclear_supported
HEMVUQ,2,False,False,True,molecular_multinuclear_supported
QIZSOI,8,False,True,True,molecular_multinuclear_supported
RIQDUQ,2,False,True,True,molecular_multinuclear_supported
MUGWIW,3,True,False,True,molecular_multinuclear_supported
OFAYID,2,False,True,True,molecular_multinuclear_supported
EJUTIM,2,False,True,True,molecular_multinuclear_supported
TIRBAY,7,True,False,True,molecular_multinuclear_supported
HOQHIH,2,False,True,True,molecular_multinuclear_supported
ZUVLOR,2,False,False,True,molecular_multinuclear_supported
ZEHJED,2,False,False,True,molecular_multinuclear_supported
POYKET,2,False,False,True,molecular_multinuclear_supported
VEHLAV10,3,True,False,True,molecular_multinuclear_supported
WIXYAH,3,False,True,False,molecular_multinuclear_supported
TETYUP,18,False,True,False,polymeric_or_extended_future_scope
PAVSEO,7,False,True,False,molecular_multinuclear_supported
DOGSUN,6,False,False,True,molecular_multinuclear_supported
KIKXIM,2,False,False,True,molecular_multinuclear_supported
KUWNAV,12,False,True,False,molecular_multinuclear_supported
KESKUP,4,True,True,False,molecular_multinuclear_supported
OSATUZ,3,False,False,True,molecular_multinuclear_supported
EQESIF,7,False,False,True,molecular_multinuclear_supported
PIWNUG,3,False,True,True,molecular_multinuclear_supported
LOFYUB,5,True,False,True,molecular_multinuclear_supported
LONQUB,6,True,False,True,molecular_multinuclear_supported
PIHNUT,2,False,True,True,molecular_multinuclear_supported
JUHPUZ,2,False,True,True,molecular_multinuclear_supported
NONDOJ,3,False,False,True,molecular_multinuclear_supported
DIDBEZ,3,False,False,True,molecular_multinuclear_supported
UJATIM,5,False,True,True,molecular_multinuclear_supported
OYICEG,4,False,True,False,molecular_multinuclear_supported
WIHWES,2,False,False,True,molecular_multinuclear_supported
BAZJET,9,True,True,True,molecular_multinuclear_supported
AGOGUY,3,False,False,True,molecular_multinuclear_supported
TUQSEE,2,False,True,True,molecular_multinuclear_supported
UYUPUA,6,True,True,True,molecular_multinuclear_supported
ZOPBOV,9,False,False,True,molecular_multinuclear_supported
POMKUX,3,False,False,False,molecular_multinuclear_supported
ZOBDAV,3,False,False,True,molecular_multinuclear_supported
NUNCEI01,8,True,True,True,molecular_multinuclear_supported
FODGAH,2,False,False,True,molecular_multinuclear_supported
DALJAF,3,False,False,True,molecular_multinuclear_supported
ROHYIX,2,False,True,True,molecular_multinuclear_supported
DESBOV,2,False,False,True,molecular_multinuclear_supported
