node_id,source_database,source_id,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,periodic_truncated,parse_valid,roundtrip_valid,L0,L1,L2,L3
MOF_ABOHIM,CSD_MOF,ABOHIM,10,Cd+Cd+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,"6,6,6,6,6,6,6,6,6,1","OC,OC,OC,OC,OC,OC,OC,OC,OC,CN1","N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O,mu4-O",,True,True,True,Cd+Cd+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6,Cd+Cd+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC,Cd+Cd+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC|Donors:N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,03dde9fc5417
MOF_ABOHOS,CSD_MOF,ABOHOS,10,Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,"6,6,6,6,6,6,6,6,6,1","OC,OC,OC,OC,OC,OC,OC,OC,OC,CN1","N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O,mu4-O",,True,True,True,Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6,Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC,Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC|Donors:N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,479b2366ead2
MOF_ABOHUY,CSD_MOF,ABOHUY,10,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Zn+Zn,"6,6,6,6,6,6,6,6,6,1","OC,OC,OC,OC,OC,OC,OC,OC,OC,CN1","N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O,mu4-O",,True,True,True,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Zn+Zn|CN:6+1+6+6+6+6+6+6+6+6,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Zn+Zn|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Zn+Zn|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC|Donors:N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,a4e1ec78d58b
MOF_ABOJAG,CSD_MOF,ABOJAG,10,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Ni+Ni,"6,6,6,6,6,6,6,6,1,6","OC,OC,OC,OC,OC,OC,OC,OC,CN1,OC","N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O,mu4-O",,True,True,True,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Ni+Ni|CN:6+6+6+6+6+6+6+6+6+1,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Ni+Ni|CN:6+6+6+6+6+6+6+6+6+1|Shape:OC+OC+OC+OC+OC+OC+OC+OC+OC+CN1,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Ni+Ni|CN:6+6+6+6+6+6+6+6+6+1|Shape:OC+OC+OC+OC+OC+OC+OC+OC+OC+CN1|Donors:N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,99a9b2da1d94
MOF_ABOJEK,CSD_MOF,ABOJEK,10,Fe+Fe+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,"6,6,6,6,6,6,6,6,6,1","OC,OC,OC,OC,OC,OC,OC,OC,OC,CN1","N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O,mu4-O",,True,True,True,Fe+Fe+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6,Fe+Fe+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC,Fe+Fe+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC|Donors:N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,a55ca0fa0f9b
MOF_ABOKAD,CSD_MOF,ABOKAD,2,Ag+Ag,"2,1","L,CN1","N,N,N",,,True,True,True,Ag+Ag|CN:2+1,Ag+Ag|CN:2+1|Shape:L+CN1,Ag+Ag|CN:2+1|Shape:L+CN1|Donors:N+N+N|Bridges:0,42eb51d967db
MOF_ABOKEL,CSD_MOF,ABOKEL,9,Co+Co+Co+Mo+Mo+Mo+Mo+Mo+Mo,"6,6,6,6,6,6,1,2,6","OC,OC,OC,OC,OC,OC,CN1,L,OC","N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",mu2-O,,True,True,True,Co+Co+Co+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+6+6+6+6+6+1+2+6,Co+Co+Co+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+6+6+6+6+6+1+2+6|Shape:OC+OC+OC+OC+OC+OC+CN1+L+OC,Co+Co+Co+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+6+6+6+6+6+1+2+6|Shape:OC+OC+OC+OC+OC+OC+CN1+L+OC|Donors:N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,733db2fe623e
MOF_ABOSET,CSD_MOF,ABOSET,2,Cu+Cu,"6,1","OC,CN1","N,N,O,O,O,O,O",,,True,True,True,Cu+Cu|CN:6+1,Cu+Cu|CN:6+1|Shape:OC+CN1,Cu+Cu|CN:6+1|Shape:OC+CN1|Donors:N+N+O+O+O+O+O|Bridges:0,a41f0cf8a48c
MOF_ABOSIX,CSD_MOF,ABOSIX,2,Cu+Cu,"5,5","TBPY,TBPY","N,N,N,N,O,O,O,O",mu2-O,,True,True,True,Cu+Cu|CN:5+5,Cu+Cu|CN:5+5|Shape:TBPY+TBPY,Cu+Cu|CN:5+5|Shape:TBPY+TBPY|Donors:N+N+N+N+O+O+O+O|Bridges:2,fca8f550ee1e
MOF_ABOSOC,CSD_MOF,ABOSOC,3,Cu+Cu+Cu,"5,6,5","TBPY,OC,TBPY","N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S",,,True,True,True,Cu+Cu+Cu|CN:5+6+5,Cu+Cu+Cu|CN:5+6+5|Shape:TBPY+OC+TBPY,Cu+Cu+Cu|CN:5+6+5|Shape:TBPY+OC+TBPY|Donors:N+N+N+N+N+N+N+N+N+N+N+N+S+S+S+S|Bridges:0,b1ac547e17ca
