node_id,source_database,source_id,record_type,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,L0,L1,L2,L3,ligand_signature
MULTI_ACISEO,CSD_multi,ACISEO,multinuclear,6,Cd+Cd+Cd+Cd+Cd+Cd,"1,1,2,2,7,7","CN1,CN1,L,L,PBPY,PBPY","N,N,O,O,O,O,O,O,O,O,O,O,O,O","mu2-N,mu2-O",,Cd+Cd+Cd+Cd+Cd+Cd|CN:1+1+2+2+7+7,Cd+Cd+Cd+Cd+Cd+Cd|CN:1+1+2+2+7+7|Shape:CN1+CN1+L+L+PBPY+PBPY,Cd+Cd+Cd+Cd+Cd+Cd|CN:1+1+2+2+7+7|Shape:CN1+CN1+L+L+PBPY+PBPY|Donors:N+N+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:6,a5beb58a6ce2,N+N+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACISOU,CSD_multi,ACISOU,multinuclear,2,Fe+Fe,"6,6","OC,OC","Cl,Cl,Cl,Cl,N,N,N,N,N,N,N,N",,,Fe+Fe|CN:6+6,Fe+Fe|CN:6+6|Shape:OC+OC,Fe+Fe|CN:6+6|Shape:OC+OC|Donors:Cl+Cl+Cl+Cl+N+N+N+N+N+N+N+N|Bridges:0,e24d9c55963e,Cl+Cl+Cl+Cl+N+N+N+N+N+N+N+N
MULTI_ACISUA,CSD_multi,ACISUA,multinuclear,2,Co+Co,"6,6","OC,OC","Cl,Cl,Cl,Cl,N,N,N,N,N,N,N,N",,,Co+Co|CN:6+6,Co+Co|CN:6+6|Shape:OC+OC,Co+Co|CN:6+6|Shape:OC+OC|Donors:Cl+Cl+Cl+Cl+N+N+N+N+N+N+N+N|Bridges:0,963401158f05,Cl+Cl+Cl+Cl+N+N+N+N+N+N+N+N
MULTI_ACITAL,CSD_multi,ACITAL,multinuclear,2,Au+Au,"4,4","SP,SP","C,C,C,C,I,I,P,P",,,Au+Au|CN:4+4,Au+Au|CN:4+4|Shape:SP+SP,Au+Au|CN:4+4|Shape:SP+SP|Donors:C+C+C+C+I+I+P+P|Bridges:0,b50da0ce1672,C+C+C+C+I+I+P+P
MULTI_ACITEL,CSD_multi,ACITEL,multinuclear,2,Cu+Cu,"4,4","SP,SP","N,N,N,N,O,O,O,O",,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+O+O+O+O|Bridges:0,0cba64fcb294,N+N+N+N+O+O+O+O
MULTI_ACITEL01,CSD_multi,ACITEL01,multinuclear,2,Cu+Cu,"4,4","SP,SP","N,N,N,N,O,O,O,O",,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+O+O+O+O|Bridges:0,0cba64fcb294,N+N+N+N+O+O+O+O
MULTI_ACITUC,CSD_multi,ACITUC,multinuclear,2,Cu+Cu,"4,4","SP,SP","N,N,N,N,O,O,O,O",,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+O+O+O+O|Bridges:0,0cba64fcb294,N+N+N+N+O+O+O+O
MULTI_ACITUF,CSD_multi,ACITUF,multinuclear,3,Ir+Ir+Ir,"6,6,6","OC,OC,OC","C,C,C,Cl,Cl,Cl,N,N,N,N,N,N,P,P,P,P,P,P",,,Ir+Ir+Ir|CN:6+6+6,Ir+Ir+Ir|CN:6+6+6|Shape:OC+OC+OC,Ir+Ir+Ir|CN:6+6+6|Shape:OC+OC+OC|Donors:C+C+C+Cl+Cl+Cl+N+N+N+N+N+N+P+P+P+P+P+P|Bridges:0,39de012d6703,C+C+C+Cl+Cl+Cl+N+N+N+N+N+N+P+P+P+P+P+P
MULTI_ACIVIU,CSD_multi,ACIVIU,multinuclear,2,Pd+Pd,"4,4","SP,SP","C,C,Cl,Cl,Cl,Cl,N,N",,,Pd+Pd|CN:4+4,Pd+Pd|CN:4+4|Shape:SP+SP,Pd+Pd|CN:4+4|Shape:SP+SP|Donors:C+C+Cl+Cl+Cl+Cl+N+N|Bridges:0,af4bf442a6fd,C+C+Cl+Cl+Cl+Cl+N+N
MULTI_ACIWER,CSD_multi,ACIWER,multinuclear,4,Pd+Pd+Pd+Pd,"4,4,4,4","SP,SP,SP,SP","C,C,C,C,Cl,Cl,Cl,Cl,Cl,Cl,Cl,Cl,N,N,N,N",,,Pd+Pd+Pd+Pd|CN:4+4+4+4,Pd+Pd+Pd+Pd|CN:4+4+4+4|Shape:SP+SP+SP+SP,Pd+Pd+Pd+Pd|CN:4+4+4+4|Shape:SP+SP+SP+SP|Donors:C+C+C+C+Cl+Cl+Cl+Cl+Cl+Cl+Cl+Cl+N+N+N+N|Bridges:0,70cc7fe899b0,C+C+C+C+Cl+Cl+Cl+Cl+Cl+Cl+Cl+Cl+N+N+N+N
MULTI_ACIWUH,CSD_multi,ACIWUH,multinuclear,3,Pd+Pd+Pd,"4,4,4","SP,SP,SP","C,C,C,N,N,N,N,N,N,N,N,N",,,Pd+Pd+Pd|CN:4+4+4,Pd+Pd+Pd|CN:4+4+4|Shape:SP+SP+SP,Pd+Pd+Pd|CN:4+4+4|Shape:SP+SP+SP|Donors:C+C+C+N+N+N+N+N+N+N+N+N|Bridges:0,bcc9d8af99ff,C+C+C+N+N+N+N+N+N+N+N+N
MULTI_ACIWUI,CSD_multi,ACIWUI,multinuclear,2,Au+Au,"2,2","L,L","O,O,P,P",,,Au+Au|CN:2+2,Au+Au|CN:2+2|Shape:L+L,Au+Au|CN:2+2|Shape:L+L|Donors:O+O+P+P|Bridges:0,5cba3f270408,O+O+P+P
