refcode,metal,S_TBPY,S_SPY,delta,in_ridge
BABDOY,Ni,4.9,6.08,1.18,False
BABTIH,Cu,0.56,1.83,1.27,False
BABTIJ,Cu,6.77,9.98,3.21,False
BABVEH,Ti,10.64,14.93,4.29,False
BABVEJ,V,0.52,5.83,5.31,False
BABVIL,Ti,9.05,17.5,8.45,False
BABVOR,Zr,12.67,8.75,3.92,False
BABVOT,Mn,1.42,3.25,1.83,False
BABVUX,Ti,8.57,9.59,1.02,False
BABWAE,Zr,12.74,17.89,5.15,False
BABXOV,Hg,1.3,6.19,4.89,False
BACFOC,Ru,4.86,5.79,0.93,True
BACGEV,Nb,0.18,1.23,1.05,False
BACGEV01,Nb,0.18,1.23,1.05,False
BACKUN,Ru,4.61,6.06,1.45,False
BACLAU,Ru,6.52,6.57,0.05,True
BACLEY,Ru,5.34,6.1,0.76,True
BACLUO,Hf,12.95,17.3,4.35,False
BACMAV,Hf,12.56,15.41,2.85,False
BACMEC,Zn,0.7,2.16,1.46,False
BACMIG,Cu,0.93,1.17,0.24,True
BACNOK,Mn,6.89,8.33,1.44,False
BACWAI,Cu,4.92,11.15,6.23,False
BACWEM,Zn,0.74,6.38,5.64,False
BACWIQ,Zn,0.7,6.4,5.7,False
BACWOW,Cu,5.18,6.37,1.19,False
BACWUC,Cu,5.12,6.55,1.43,False
BACXAJ,Zn,0.71,1.34,0.63,True
BACXEN,Zn,0.65,4.73,4.08,False
BACXIR,Cu,5.12,6.54,1.42,False
BACXOX,Zn,0.72,1.35,0.63,True
BACXUD,Zn,0.95,6.64,5.69,False
BACYAK,Cu,5.12,6.4,1.28,False
BACYEO,Cu,11.59,11.56,0.03,True
BACYIS,Zn,0.78,6.41,5.63,False
BADLIC,Fe,0.34,5.63,5.29,False
BADPIH,Zn,1.18,1.91,0.73,True
BADQAB,W,0.23,0.56,0.33,True
BADRUU,Zn,4.82,5.89,1.07,False
BAEPCU,Cu,0.33,1.35,1.02,False
BAFHOK,Sc,1.15,4.24,3.09,False
BAFMOL,Mo,4.89,5.15,0.26,True
BAFMUR,Mo,7.16,7.63,0.47,True
BAFNAY,W,5.14,5.32,0.18,True
BAFNEC,W,6.61,7.85,1.24,False
BAFQAF,Cu,9.29,7.63,1.66,False
BAFROT,Co,0.77,1.18,0.41,True
BAFSAG,Co,0.77,6.11,5.34,False
BAFSOO,Ru,0.04,1.37,1.33,False
BAGGEZ,Zn,7.35,4.72,2.63,False
BAGGID,Zn,4.61,7.48,2.87,False
BAGPIJ,Cu,5.2,6.18,0.98,True
BAGRIK,Os,5.7,5.8,0.1,True
BAHGUQ,Ru,5.08,5.77,0.69,True
BAHJIH,Fe,4.59,6.33,1.74,False
BAHTIN,Cu,0.63,6.53,5.9,False
BAHTOT,Zn,0.76,1.27,0.51,True
BAHVAL,Ir,0.42,1.1,0.68,True
BAHWIU,Rh,5.35,5.95,0.6,True
BAHZIT,Cu,0.3,0.87,0.57,True
BAJHUT,Rh,5.2,5.8,0.6,True
BAJVUE,Ni,0.55,0.56,0.01,True
BAJXOD,Cu,7.33,7.86,0.53,True
BAKPOT,Sc,3.77,4.03,0.26,True
BAKPUZ,Sc,0.61,1.19,0.58,True
BAKQIQ,Co,0.85,1.76,0.91,True
BAKQUC,Co,0.63,1.61,0.98,True
BAKRAJ,Co,0.7,6.4,5.7,False
BALDUQ,Fe,0.41,0.82,0.41,True
BALFAY,Fe,4.85,6.2,1.35,False
BALFEC,Fe,0.44,0.65,0.21,True
BALKUX,Ni,0.39,6.54,6.15,False
BALNEL,Zn,4.06,5.74,1.68,False
BALVAM,Re,5.13,6.3,1.17,False
BALYUK,V,5.26,5.88,0.62,True
BALZAR,V,0.35,0.99,0.64,True
BAMPAG,Os,0.65,1.42,0.77,True
BAMTIT,Zr,0.68,6.28,5.6,False
BAMTOZ,Hf,0.85,6.32,5.47,False
BAMTUF,Hf,0.72,0.76,0.04,True
BAMZAR,Zn,5.08,7.16,2.08,False
BANQAK,Cu,0.44,5.46,5.02,False
BANTOB,Cu,1.1,3.68,2.58,False
BANTUH,Cu,4.88,5.76,0.88,True
BANVAP,Cu,0.19,5.99,5.8,False
BAPFOR,Pt,0.17,0.97,0.8,True
BAPKEI,Ni,0.29,4.42,4.13,False
BAPPUD01,Cu,5.39,6.65,1.26,False
BAPXEW,Re,3.93,4.43,0.5,True
BARDIL,Co,2.97,6.16,3.19,False
BARFEH,Fe,0.83,4.89,4.06,False
BARFUX,Co,0.74,4.73,3.99,False
BARSUM,Os,0.11,1.56,1.45,False
BASGIP,Fe,0.15,1.32,1.17,False
BASHEI01,Cu,3.26,4.59,1.33,False
BASHEI02,Cu,3.24,3.87,0.63,True
BASHIM01,Cu,4.36,5.86,1.5,False
BASHIM02,Cu,5.51,6.0,0.49,True
BASHUC,Cu,8.1,18.41,10.31,False
BASLOW,Cu,4.01,5.51,1.5,False
BASPAP,Ru,4.41,5.25,0.84,True
BASPET,Ru,0.2,1.16,0.96,True
BASRUL,Zn,0.39,5.46,5.07,False
BASRUL01,Zn,0.43,5.73,5.3,False
BASTIY,V,4.8,5.71,0.91,True
BATDOS,Y,1.36,3.79,2.43,False
BATFEK,Y,0.61,5.89,5.28,False
BATRIB,Cu,5.96,6.36,0.4,True
BATSIY,Ni,9.12,12.09,2.97,False
BAVSUP,Cu,10.49,12.24,1.75,False
BAVTAW,Cu,4.32,5.72,1.4,False
BAVVUS,Zn,0.32,1.27,0.95,True
BAWFOW,Pd,4.59,6.83,2.24,False
BAWKOC,Fe,0.62,0.84,0.22,True
BAWPIZ,Pt,5.2,5.61,0.41,True
BAXDEJ,Rh,0.75,1.05,0.3,True
BAXJAL,Co,0.76,1.23,0.47,True
BAXPOJ,Cu,0.68,0.98,0.3,True
BAXTAZ,Ni,6.06,6.99,0.93,True
BAYHUF,Fe,5.52,5.9,0.38,True
BAYKIX,Mn,6.46,8.7,2.24,False
BAYTUT,Zn,0.87,1.24,0.37,True
BAYVEG,V,0.5,5.6,5.1,False
BAZCIQ,Fe,0.58,6.01,5.43,False
BAZDOX,Cu,0.29,5.78,5.49,False
BAZDUD,Cu,0.97,4.49,3.52,False
BAZEAC01,Cu,4.89,7.87,2.98,False
BAZFOA,Zr,1.68,6.63,4.95,False
BAZNCU,Cu,1.76,6.81,5.05,False
BAZPEX,Mn,5.6,5.97,0.37,True
BEBDOE,Co,5.09,5.96,0.87,True
BEBLUT,Fe,0.31,1.16,0.85,True
BEBWOW,V,5.7,5.91,0.21,True
BEBWOW01,V,0.15,0.87,0.72,True
BEBWUC,V,5.73,5.82,0.09,True
BEBYUF,Fe,0.51,5.55,5.04,False
BECHUM,Pt,0.67,1.82,1.15,False
BECKAW,Pt,6.72,6.92,0.2,True
BEDWIU,Hg,2.37,2.67,0.3,True
BEFHUS,Zn,0.32,1.13,0.81,True
BEGHAX,V,4.68,5.65,0.97,True
BEGNAD,Y,0.22,5.88,5.66,False
BEGNIK,Cu,10.23,14.15,3.92,False
BEGSUE,V,0.08,5.5,5.42,False
BEGWET,Cu,5.2,6.22,1.02,False
BEGXOC,Ru,6.4,6.42,0.02,True
BEGYIZ,Ti,1.27,5.79,4.52,False
BEGYOF,V,1.12,1.15,0.03,True
BEGYUL,Sc,1.15,6.14,4.99,False
BEGZOG,Sc,1.35,2.29,0.94,True
BEGZUM,Ti,1.17,6.51,5.34,False
BEHBAV,V,0.94,6.32,5.38,False
BEHBEZ,Ti,0.99,6.13,5.14,False
BEHDEX,Cu,0.88,6.04,5.16,False
BEHFID,Cu,4.75,5.82,1.07,False
BEHQOV,Ta,4.87,5.77,0.9,True
BEHQUB,Ta,0.29,1.0,0.71,True
BEHRAI,Ta,5.08,5.91,0.83,True
BEJHUX,Ir,5.29,5.89,0.6,True
BEJKEH,Fe,4.86,5.78,0.92,True
BEJNIN,Cu,0.42,4.0,3.58,False
BEJPOW,Cu,0.27,5.59,5.32,False
BEJRIT,Ti,2.83,9.07,6.24,False
BEJROZ,Zr,0.39,6.22,5.83,False
BEJTIW,V,0.58,4.62,4.04,False
BEKZIA,Fe,4.56,5.58,1.02,False
BELBAX,Re,6.34,12.29,5.95,False
BELHAD,Zn,1.45,4.56,3.11,False
BELLUC,Cu,0.56,0.81,0.25,True
BELMEN,Cu,0.62,6.23,5.61,False
BELPEO,Ru,6.1,6.2,0.1,True
BEMBAZ,Cu,0.45,2.01,1.56,False
BEMJAF,Cu,1.02,6.14,5.12,False
BEMKEL,Cu,4.95,5.69,0.74,True
BEMKUB,Cu,4.92,5.86,0.94,True
BEMLAJ,Os,4.72,5.77,1.05,False
BEMWOI,Ru,3.08,5.73,2.65,False
BENDOO,Cd,1.86,4.13,2.27,False
BENHOU,Ru,7.66,11.69,4.03,False
BENMAM,Ni,1.65,8.82,7.17,False
BENNEP,Pd,4.76,6.32,1.56,False
BEPDAC,Cu,7.31,11.88,4.57,False
BEPJOY,Zn,0.1,5.36,5.26,False
BEPRET,Mn,0.77,0.97,0.2,True
BEPVUN,Mn,4.62,6.17,1.55,False
BEQLEP,Cu,2.73,5.12,2.39,False
BEQLEQ,Cr,5.87,6.21,0.34,True
BEQQET,Fe,1.13,3.99,2.86,False
BEQRAT,Fe,0.82,2.64,1.82,False
BEQSAU,Cu,5.16,6.33,1.17,False
BEQTEY,Cu,4.79,4.87,0.08,True
BEQTOI,Cu,7.93,11.08,3.15,False
BEQVOI,V,5.38,6.07,0.69,True
BEQYEC,Mo,5.82,6.1,0.28,True
BERBAF,Ru,6.05,6.18,0.13,True
BERJOY,Fe,5.39,8.45,3.06,False
BERKUH,Cd,0.74,6.66,5.92,False
BERLAO,Cd,4.63,7.13,2.5,False
BERMOC,Ru,6.38,6.45,0.07,True
BESBEI,Fe,0.55,5.93,5.38,False
BESBOU,Co,0.59,6.14,5.55,False
BESBUA,Co,5.19,5.94,0.75,True
BESCAH,Ir,6.62,7.35,0.73,True
BESCEL,Ir,1.58,7.57,5.99,False
BESCOV,Ir,6.34,6.87,0.53,True
BESCUB,Ir,4.67,5.32,0.65,True
BESDAI,Co,0.53,1.16,0.63,True
BESMIX,W,7.07,7.31,0.24,True
BESPAS,Co,0.61,6.11,5.5,False
BESPIA,Zn,0.63,6.16,5.53,False
BESPUM,Ir,0.6,1.6,1.0,False
BESRIE,Co,1.18,6.65,5.47,False
BETHOY,V,0.21,0.83,0.62,True
BETLOE,Ru,6.27,6.63,0.36,True
BETLUK,Ru,6.11,6.45,0.34,True
BETRIC,Fe,0.88,3.03,2.15,False
BETTOM,Cu,0.58,0.65,0.07,True
BETTUS,Cu,0.18,5.61,5.43,False
BETVAA,Cu,0.2,5.69,5.49,False
BEVDAJ,Hg,5.46,7.04,1.58,False
BEWDUF,Cu,4.91,5.96,1.05,False
BEWJOG,Cu,4.33,6.62,2.29,False
BEWTUS,Cu,11.17,13.44,2.27,False
BEWYUA,Co,0.5,6.42,5.92,False
BEXHUK,Fe,5.84,5.86,0.02,True
BEYGAR,Cu,5.14,6.48,1.34,False
BEYMAU,Cu,0.34,3.83,3.49,False
BEYWEK,V,0.39,0.46,0.07,True
BEZVEJ,Cu,4.89,4.89,0.0,True
BEZYOY,Cu,0.69,4.43,3.74,False
BEZYUE,Cu,5.08,6.35,1.27,False
BEZZIQ,Cu,6.0,5.4,0.6,True
BEZZOW,Cu,11.11,16.59,5.48,False
BEZZOZ,Zn,0.69,1.74,1.05,False
BEZZUC,Cu,7.44,13.71,6.27,False
BHEDCB,Cu,8.01,9.86,1.85,False
BIBCAU,Cu,8.49,12.0,3.51,False
BIBCEY,Cu,10.72,11.63,0.91,True
BIBDIA,Zn,0.84,5.31,4.47,False
BIBDUM,Ni,0.26,0.97,0.71,True
BIBFEY,Ni,0.19,5.41,5.22,False
BIBGOJ,Zn,6.61,5.12,1.49,False
BIBHEA,Cu,4.49,6.84,2.35,False
BIBHED,Cu,7.48,8.93,1.45,False
BIBSOX,Re,1.01,5.94,4.93,False
BICGOK,Cu,0.68,0.77,0.09,True
BICHIH,Ti,6.86,8.84,1.98,False
BICHON,Ti,4.78,5.36,0.58,True
BICKUU,V,0.45,5.44,4.99,False
BICLUV,Cu,5.74,9.33,3.59,False
BICVOC,Cu,4.49,5.72,1.23,False
BIDCEX,Cu,7.71,11.17,3.46,False
BIDGOL,W,8.15,8.27,0.12,True
BIDHAY,W,7.81,8.06,0.25,True
BIDKAC,V,0.19,1.13,0.94,True
BIDPAG,Hf,0.04,1.16,1.12,False
BIDPUD,Cd,4.73,6.24,1.51,False
BIDQUB,Ru,6.26,6.52,0.26,True
BIDRAI,Ru,0.37,1.42,1.05,False
BIDYET,Ir,0.25,1.1,0.85,True
BIFQUC,Cu,0.65,6.65,6.0,False
BIFSIT,Cu,4.78,5.86,1.08,False
BIFYOH,Cu,6.52,8.43,1.91,False
BIGKEI,Mo,0.27,1.28,1.01,False
BIGTOA,Cu,10.02,9.56,0.46,True
BIGYOF,Cu,0.61,5.78,5.17,False
BIHQUE,Ru,3.02,6.03,3.01,False
BIHYAU,Ru,4.8,5.89,1.09,False
BIHYOI,Ru,0.26,0.93,0.67,True
BIHYUO,Ru,0.7,0.84,0.14,True
BIHZAV,Ru,0.17,1.4,1.23,False
BIJGAE,Co,1.36,1.45,0.09,True
BIJGEI,Co,1.32,4.69,3.37,False
BIJHEI,Ti,0.33,5.59,5.26,False
BIJHIM,Ti,0.33,5.72,5.39,False
BIJQIW,Zn,6.59,9.2,2.61,False
BIJTOF,Cu,0.49,5.52,5.03,False
BIJVOH,Ru,6.1,6.28,0.18,True
BIJVUN,Ru,5.11,6.14,1.03,False
BIJWUM,Cu,5.03,6.25,1.22,False
BIJYEZ,Cu,4.7,5.78,1.08,False
BIKMUF,Cu,9.31,11.65,2.34,False
BIKWOI,Ru,4.93,5.55,0.62,True
BILNIV,Cu,0.87,1.29,0.42,True
BILSIZ,Cu,11.79,9.54,2.25,False
BIMDOT,Zn,4.78,5.87,1.09,False
BIMNUJ,Mo,4.59,5.92,1.33,False
BIMVOJ,Cu,6.24,10.36,4.12,False
BINCOR,Ni,10.75,10.89,0.14,True
BINFAH,Mo,0.05,1.03,0.98,True
BINPUM,Ru,0.84,1.66,0.82,True
BIPHOZ,Cr,0.06,0.96,0.9,True
BIPHUF,Mo,0.07,0.99,0.92,True
BIPKUK,Zn,0.33,5.23,4.9,False
BIPLEV,Co,5.91,6.25,0.34,True
BIPLIZ,Co,0.27,4.4,4.13,False
BIPMEU,Cu,0.9,4.03,3.13,False
BIPNIA,Ru,0.55,1.18,0.63,True
BIPQOJ,Fe,10.06,12.21,2.15,False
BIPRAW,Fe,0.81,5.16,4.35,False
BIPREA,Fe,0.78,0.8,0.02,True
BIPYAC,Ti,5.09,5.75,0.66,True
BIQCOV,Ta,1.24,5.36,4.12,False
BIQDEM,Ta,2.57,4.58,2.01,False
BIQJEU,Fe,1.16,6.5,5.34,False
BIQJIW,Fe,0.8,6.46,5.66,False
BIQKET,Co,0.51,0.84,0.33,True
BIQNOE,W,5.45,5.83,0.38,True
BIQZAC,Cu,4.84,6.03,1.19,False
BIQZUZ,Mo,0.07,5.51,5.44,False
BIRKEU,V,5.0,5.67,0.67,True
BIRVUT,Cu,7.18,13.1,5.92,False
BIRXOR,V,0.99,6.05,5.06,False
BIRXUX,V,0.59,2.72,2.13,False
BISJEW,Fe,3.27,4.9,1.63,False
BISWIN,Co,9.51,9.34,0.17,True
BISXAG,Co,6.05,7.51,1.46,False
BITMAV,Ni,8.11,7.59,0.52,True
BITSAY05,Ti,0.0,1.08,1.08,False
BITSAY06,Ti,0.14,0.72,0.58,True
BITSAY07,Ti,4.93,5.75,0.82,True
BITXEH,Re,0.2,1.02,0.82,True
BIWBER,Ru,5.8,6.55,0.75,True
BIWPOP,Fe,0.91,4.86,3.95,False
BIWQEE,Ti,0.82,1.35,0.53,True
BIWTUZ,Fe,5.34,5.98,0.64,True
BIWWAI,Cu,0.63,5.08,4.45,False
BIXBIU,Cu,2.01,4.12,2.11,False
BIXCIX,Zn,0.29,1.05,0.76,True
BIXDIW,Fe,4.94,6.07,1.13,False
BIXHAR10,Mo,5.6,6.29,0.69,True
BIXMEA,Cu,0.24,1.27,1.03,False
BIXWEN,Co,0.53,1.12,0.59,True
BIYJIC,Ir,4.84,5.74,0.9,True
BIYJIF,V,0.46,5.53,5.07,False
BIYNIH,Ta,0.01,1.08,1.07,False
BIYNUV,Fe,3.72,6.26,2.54,False
BIYPAD,Cu,5.12,5.23,0.11,True
BIYTEI,Fe,0.58,1.39,0.81,True
BIYVAH,Zn,1.11,5.19,4.08,False
BIZCOD,Cu,5.57,5.93,0.36,True
BIZGIB,Cu,7.43,8.41,0.98,True
BIZMUV,Mn,0.08,0.66,0.58,True
BIZRAE,Co,0.68,4.66,3.98,False
BIZVOV,Mo,0.18,0.84,0.66,True
BOBHAB,Cu,3.3,6.35,3.05,False
BOBHEF,Zn,0.74,4.75,4.01,False
BOBJUY,Sc,0.46,1.53,1.07,False
BOBPAL,Fe,0.47,0.87,0.4,True
BOBROD,Cu,0.56,0.7,0.14,True
BOCCUT,Zn,0.07,4.52,4.45,False
BOCDEE,Zn,0.04,0.73,0.69,True
BOCFIM,Ni,10.78,19.02,8.24,False
BOCGEG,Fe,4.94,5.74,0.8,True
BOCGUZ,Co,13.23,10.5,2.73,False
BOCKUZ,Fe,0.56,5.51,4.95,False
BOCQUF,Rh,0.32,4.77,4.45,False
BOCRAN,Re,0.06,5.43,5.37,False
BOCRES,Cu,5.16,5.68,0.52,True
BODHIN,Co,0.14,5.49,5.35,False
BODTOG,Cu,7.93,12.27,4.34,False
BODXAU,Cu,4.51,5.88,1.37,False
BODXEY,Cu,0.5,0.66,0.16,True
BODXUN,Mo,0.13,1.44,1.31,False
BOFMAN,Ru,0.86,6.22,5.36,False
BOFMIT,Ti,10.04,7.5,2.54,False
BOFMOZ,Ti,11.93,16.87,4.94,False
BOFNAN,Mn,5.55,6.15,0.6,True
BOFNAO,V,0.13,0.82,0.69,True
BOFNES,V,0.13,0.89,0.76,True
BOFPUJ,Cu,0.71,1.08,0.37,True
BOFVAU,Zn,0.49,5.67,5.18,False
BOGKOY,Cu,0.35,5.17,4.82,False
BOGLAM,Fe,5.06,6.04,0.98,True
BOGQAT,Ti,5.5,10.07,4.57,False
BOGXUS,Ru,0.33,0.87,0.54,True
BOHGIP,Ti,0.08,0.79,0.71,True
BOHGUB,Ti,0.18,1.64,1.46,False
BOHHEM,Ti,5.46,5.95,0.49,True
BOHHIQ,Ti,0.33,1.95,1.62,False
BOHYOO,Cu,0.79,4.33,3.54,False
BOHZEF,Cu,0.87,4.79,3.92,False
BOJBAE,Zn,0.97,3.54,2.57,False
BOJBEJ,Cu,0.73,3.67,2.94,False
BOJHUF,Mn,7.31,7.53,0.22,True
BOJKAN,V,0.27,5.46,5.19,False
BOJLIV,Tc,6.56,7.03,0.47,True
BOJNIY,Co,0.5,4.17,3.67,False
BOJSOK,Ti,10.6,10.41,0.19,True
BOJTON,Hg,1.51,6.72,5.21,False
BOJYUX,Ag,5.52,11.71,6.19,False
BOJZIJ,Re,0.68,0.97,0.29,True
BOKHEO,Ru,0.89,4.88,3.99,False
BOKPIC,V,4.93,5.83,0.9,True
BOKPOI,V,4.73,5.77,1.04,False
BOKPOI01,V,0.45,4.81,4.36,False
BOKPUO,V,4.83,5.8,0.97,True
BOKPUO01,V,4.83,5.83,1.0,False
BOKVIH,Fe,0.45,1.04,0.59,True
BOKWAZ,Cu,4.2,6.34,2.14,False
BOKZEH,Ni,5.14,6.66,1.52,False
BOKZIL,Ni,3.8,5.33,1.53,False
BOLGOA,V,4.64,5.95,1.31,False
BOLGUG,V,4.58,5.52,0.94,True
BOLSAX,Mo,5.07,6.31,1.24,False
BOLSEB,Mo,5.35,6.01,0.66,True
BOLYAE,Zn,0.42,6.22,5.8,False
BOMFOC,Co,0.07,0.77,0.7,True
BOMMOJ,V,0.21,0.59,0.38,True
BOMYUB,Mn,0.89,6.67,5.78,False
BOMZAI,Mn,0.88,4.96,4.08,False
BONHOE,Cu,1.83,6.67,4.84,False
BONJOE,Zn,0.29,0.59,0.3,True
BONQUQ,V,5.26,6.04,0.78,True
BONVOP10,Fe,7.61,15.32,7.71,False
BONWEG,Fe,3.37,6.09,2.72,False
BONWEG01,Fe,3.39,6.08,2.69,False
BONYOS,Cu,1.05,1.43,0.38,True
BOPCAL,Zn,0.63,1.32,0.69,True
BOPXUA,V,5.19,6.06,0.87,True
BOPZAK,Cu,5.62,10.52,4.9,False
BOPZOX,Zr,9.28,7.87,1.41,False
BOPZUB,Cu,5.06,5.31,0.25,True
BOQHOF,V,0.69,1.24,0.55,True
BOQHUL,V,1.0,2.02,1.02,False
BOQPAB,W,0.19,0.59,0.4,True
BOQPAY,Co,0.38,6.15,5.77,False
BOQPIG,Zn,0.2,0.7,0.5,True
BORBOB,Cd,4.07,4.64,0.57,True
BORJEY,Zn,0.31,0.69,0.38,True
BORJIC,Zn,4.81,5.78,0.97,True
BORJOI,Zn,4.8,5.81,1.01,False
BORVIQ,Cr,0.25,0.76,0.51,True
BOSKOJ,Cr,5.13,5.76,0.63,True
BOSLEE,Cu,11.99,12.53,0.54,True
BOSLII,Cu,8.01,8.71,0.7,True
BOSRAE,V,5.15,6.01,0.86,True
BOTBIW,Re,0.78,1.36,0.58,True
BOTBOC,Re,0.82,1.41,0.59,True
BOTBUI,Re,0.83,5.77,4.94,False
BOTCAP,Re,0.14,5.43,5.29,False
BOTHAW,Ti,4.66,6.53,1.87,False
BOTQAC,Os,0.32,0.64,0.32,True
BOTQEG,Os,4.79,5.88,1.09,False
BOTXIT,Cu,3.09,5.21,2.12,False
BOTXUF,Zn,0.71,5.2,4.49,False
BOTYAM,Cd,4.49,5.52,1.03,False
BOTYEQ,Hg,1.27,4.58,3.31,False
BOVDEZ,Ni,5.48,5.96,0.48,True
BOVNOP,Cu,4.84,6.25,1.41,False
BOWRUA,Mo,4.9,5.89,0.99,True
BOWVIU,Cu,4.88,6.09,1.21,False
BOWVIU01,Cu,4.88,6.09,1.21,False
BOWVOA,Zn,0.36,5.86,5.5,False
BOWVOA01,Zn,0.36,5.86,5.5,False
BOXBOG,Zr,0.61,6.13,5.52,False
BOXHII,V,4.67,5.74,1.07,False
BOXLAC,Ti,4.76,5.85,1.09,False
BOXPIQ,Re,7.22,6.56,0.66,True
BOXVAN,Mn,0.4,5.98,5.58,False
BOXZET,V,0.12,0.79,0.67,True
BOYCUN,Cu,4.95,4.95,0.0,True
BOYSAK,Ru,0.55,0.66,0.11,True
BOYSOY,Ru,5.53,6.08,0.55,True
BOZCEY,Fe,0.8,1.16,0.36,True
BOZMUY,Rh,5.69,9.79,4.1,False
BOZRIS,Rh,9.09,13.81,4.72,False
BPGLYC01,Cu,4.82,11.09,6.27,False
BPHMNC01,Mn,4.8,5.84,1.04,False
BPHMNC02,Mn,4.81,5.84,1.03,False
BPHMNC03,Mn,4.81,5.84,1.03,False
BPIMAC,Cu,7.17,9.54,2.37,False
BPYCUA,Cu,1.46,5.42,3.96,False
BPYCUA02,Cu,1.48,3.91,2.43,False
BPYCUB,Cu,0.5,5.31,4.81,False
BPYRCV,Cu,0.72,1.42,0.7,True
BRURMN,Mn,0.39,1.3,0.91,True
BRURMN10,Mn,0.39,1.3,0.91,True
BSMETC,Cu,5.46,7.46,2.0,False
BSTACU,Cu,1.47,5.16,3.69,False
BTCBZN,Zn,1.27,5.54,4.27,False
BUBFEK,Rh,5.34,13.94,8.6,False
BUBFIO,Rh,5.78,6.35,0.57,True
BUBYOO,Zn,5.5,6.2,0.7,True
BUCDEJ,Fe,1.72,4.61,2.89,False
BUCDIN,Co,0.71,6.13,5.42,False
BUCFIP,Y,0.7,6.02,5.32,False
BUCFOV,Y,0.65,6.7,6.05,False
BUCGAI,Mn,3.77,6.74,2.97,False
BUCLAN,Ir,0.86,5.39,4.53,False
BUCQEW,Re,0.17,5.5,5.33,False
BUCZOP,Cd,4.96,6.19,1.23,False
BUDDOV,Co,5.56,6.11,0.55,True
BUDFAJ,Co,0.46,1.2,0.74,True
BUDHAK,Cu,4.49,6.28,1.79,False
BUDHEN,Ni,4.53,4.85,0.32,True
BUDHEN10,Ni,4.53,4.85,0.32,True
BUDHIS,Cu,2.65,5.39,2.74,False
BUDKEU,Ta,0.51,6.25,5.74,False
BUDXIL,Ru,5.54,6.26,0.72,True
BUFJOE,Re,0.68,0.95,0.27,True
BUFJUJ,Mo,0.45,5.78,5.33,False
BUFKAQ,Ti,3.29,4.23,0.94,True
BUFKAR,Re,0.99,6.43,5.44,False
BUFKOF,Re,0.9,6.13,5.23,False
BUFMAT,Ir,8.3,17.27,8.97,False
BUFSEE,Cd,0.59,1.04,0.45,True
BUFXEJ,Ru,0.49,1.02,0.53,True
BUFXIN,Ru,0.58,1.49,0.91,True
BUGDAL,Cu,7.66,10.37,2.71,False
BUGDOZ,Cu,3.22,4.28,1.06,False
BUGFAN,Cu,0.44,2.32,1.88,False
BUGPEA,Cu,13.37,19.31,5.94,False
BUGSED,Cu,4.21,6.25,2.04,False
BUJCIW,Mo,6.03,6.1,0.07,True
BUJFIY,Sc,1.18,2.28,1.1,False
BUJFOE,Sc,6.5,6.53,0.03,True
BUJGAS,Ta,0.56,6.19,5.63,False
BUJLOH,Cu,0.66,5.09,4.43,False
BUJLUN,Zn,0.62,1.34,0.72,True
BUJPIH,Cr,5.37,6.57,1.2,False
BUJQEC,Rh,4.29,4.84,0.55,True
BUKCAM,Cu,5.17,6.31,1.14,False
BUKCES,Mo,1.28,6.0,4.72,False
BUKLID,W,0.09,0.78,0.69,True
BUKROP,Ag,1.06,1.55,0.49,True
BUKSAB,Fe,7.28,8.6,1.32,False
BULGEX,Cd,5.29,7.23,1.94,False
BULNEF,Ni,6.01,8.47,2.46,False
BULZOB,Ni,4.56,9.63,5.07,False
BULZUH,Ni,4.82,7.59,2.77,False
BUNJUP10,Ta,0.4,3.18,2.78,False
BUNKAW,Ta,0.35,5.37,5.02,False
BUNKAW10,Ta,0.35,5.37,5.02,False
BUNKOM,Cu,5.48,6.57,1.09,False
BUNNEF,Cd,6.13,6.58,0.45,True
BUNPAC,Cd,1.18,6.19,5.01,False
BUNQEH,Hg,2.35,5.95,3.6,False
BUNVIR,Cu,5.22,6.28,1.06,False
BUPCEV,Cu,0.43,0.84,0.41,True
BUPROX,Fe,0.43,0.99,0.56,True
BUPXAP,Ir,0.37,1.31,0.94,True
BUPXOD,Ir,0.37,1.15,0.78,True
BUQDEZ,Cd,0.79,1.8,1.01,False
BUQDID,Hg,0.82,2.04,1.22,False
BUQMAD,Cu,0.37,5.94,5.57,False
BUQMIL,Co,0.26,1.06,0.8,True
BUQVOA,Cu,4.96,6.5,1.54,False
BUQYUI,Cu,0.73,7.61,6.88,False
BURBUO,Cu,4.53,6.32,1.79,False
BURCIE,V,3.41,4.42,1.01,False
BURDOI,Cu,4.53,5.91,1.38,False
BURMIL,Mn,0.67,6.14,5.47,False
BURMOR,Mn,4.0,5.35,1.35,False
BURVOA,Cu,4.43,6.23,1.8,False
BUSFON,Zn,4.77,5.9,1.13,False
BUSRIR,Cd,12.89,11.5,1.39,False
BUSVOA,Mn,5.38,5.87,0.49,True
BUSYOG,Ir,0.7,4.86,4.16,False
BUTWOF,Co,6.1,6.91,0.81,True
BUTYOF,V,0.66,5.79,5.13,False
BUTYUL,V,10.56,13.59,3.03,False
BUVLAJ,Zn,1.02,6.48,5.46,False
BUVNEM,Ir,0.57,1.06,0.49,True
BUVWOH,Ru,0.95,4.29,3.34,False
BUVWUN,Ru,4.27,5.71,1.44,False
BUVXAU,Ru,5.16,6.68,1.52,False
BUVXEY,Ru,0.73,0.82,0.09,True
BUVZAX,Cu,0.79,6.49,5.7,False
