refcode,metal,S_TBPY,S_SPY,delta,in_ridge
APQZCU,Cu,0.69,1.31,0.62,True
APSUCC,Cu,4.71,5.8,1.09,False
APUVEP,V,5.29,6.14,0.85,True
AQADOO,Fe,5.25,6.7,1.45,False
AQAHUY,Zn,4.57,5.5,0.93,True
AQAJEK,Cu,5.31,6.74,1.43,False
AQAPUE,Zn,3.61,4.93,1.32,False
AQAQIS,Cu,6.68,7.56,0.88,True
AQCBCU,Cu,5.37,5.58,0.21,True
AQERIY,Ru,6.15,6.43,0.28,True
AQESUL,Rh,0.44,1.27,0.83,True
AQEWIE,Cu,7.05,10.94,3.89,False
AQEYOK,Zn,5.31,5.98,0.67,True
AQEZAZ,Cu,7.05,8.26,1.21,False
AQIHEP,Ru,0.18,0.95,0.77,True
AQIJAN,Ir,0.8,1.77,0.97,True
AQIQAS,Co,0.29,6.14,5.85,False
AQOYAI,Zn,4.74,5.69,0.95,True
AQPYCU,Cu,0.44,0.69,0.25,True
AQUBOE,Cu,5.0,6.12,1.12,False
AQUDOG,Cu,0.36,1.11,0.75,True
AQUGAX,Ru,6.33,6.45,0.12,True
AQUJUU,Mn,4.89,6.14,1.25,False
ARAMIP,Cu,4.84,5.49,0.65,True
ARAQEP,Rh,0.36,4.79,4.43,False
AREFIP,Zn,4.97,5.13,0.16,True
AREJAI,Zn,0.76,0.96,0.2,True
AREVOI,Cu,0.29,0.86,0.57,True
AREYAY,V,8.88,12.14,3.26,False
AREYEC,V,0.62,5.71,5.09,False
AREYIG,V,0.63,0.66,0.03,True
AREYOM,V,0.69,4.48,3.79,False
ARINIA,Fe,0.92,1.46,0.54,True
ARIQEZ,Fe,0.36,5.24,4.88,False
ARIQID,Fe,4.54,4.78,0.24,True
ARIWUT,W,1.08,2.23,1.15,False
ARIXAA,W,0.79,0.82,0.03,True
AROJOG,V,5.54,6.06,0.52,True
AROKOJ,Ru,6.2,6.34,0.14,True
AROLAW,Ru,0.45,1.16,0.71,True
AROLUR,Cu,0.5,5.83,5.33,False
ARORIK,Nb,0.42,5.37,4.95,False
AROTEI,Fe,5.25,5.94,0.69,True
AROVEJ,Hg,0.5,5.49,4.99,False
AROYEO,Cu,8.21,7.35,0.86,True
ARUGAV,Cu,4.84,8.42,3.58,False
ARUQUC,Fe,5.48,6.1,0.62,True
ARURAJ,Fe,0.25,1.41,1.16,False
ARUSUE,Ir,5.61,7.23,1.62,False
ASABIH,Zn,0.84,1.43,0.59,True
ASABUS,Sc,0.49,1.24,0.75,True
ASABUT,Zn,1.03,5.61,4.58,False
ASALUC,Cu,0.43,2.07,1.64,False
ASAMIR,Cu,0.99,1.24,0.25,True
ASAMIR01,Cu,5.16,6.58,1.42,False
ASAVOH,Mn,9.87,9.08,0.79,True
ASECAF,Cu,4.82,5.66,0.84,True
ASEKIV,Zr,5.41,6.74,1.33,False
ASESOG,Rh,4.18,5.04,0.86,True
ASIJAN,Hf,0.23,0.99,0.76,True
ASISUQ01,Cu,5.11,6.33,1.22,False
ASOHAS,Os,5.57,5.85,0.28,True
ASOQUW,Cu,3.15,6.74,3.59,False
ASOZEP,Zn,12.04,15.5,3.46,False
ASPTCR,Re,5.88,5.89,0.01,True
ASTMEC,Cu,4.79,6.19,1.4,False
ATAWAU,Co,5.0,5.85,0.85,True
ATAWOJ,Hg,5.52,5.72,0.2,True
ATEFIQ,Zn,0.56,0.76,0.2,True
ATEWUR,Ti,4.84,5.88,1.04,False
ATIDEM,Ti,0.82,6.01,5.19,False
ATIFAM,Cu,0.7,2.27,1.57,False
ATIFEQ,Cu,5.21,5.36,0.15,True
ATIFUH,Ru,0.65,1.45,0.8,True
ATIJIW,Ru,4.8,5.64,0.84,True
