L3_hash,n_records,n_refcodes,unique_L0,unique_L1,unique_L2,CN,metal,ligand_signature,geometry_span,max_pairwise_CShM_distance,crosses_shape_boundary,representative_refcodes
493012626143,2,2,2,2,1,6,Mo,Cl;Cl;[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H];[H]C([H])([H])P(C([H])([H])[,3.56,3.5602,True,BUYCAZ;BUYCAZ01
322673573945,2,2,2,2,1,6,Mn,[H]C1=C([H])N(C([H])([H])[H])CN1B(C1C([H])C([H])C([H])C([H])C1[H])(N1CN(C([H])([,3.56,4.4923,False,FUBPOL;HIJDOU
611960307721,9,9,9,3,1,6,Co,[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C(C(=O)O)C2[H])C([H])C([H])C1[H];[,3.56,5.3367,True,GEXRUY;GEXRUY01;GEXRUY02;GEXRUY05;XUSROV;XUSROV01
479037810160,4,4,4,3,2,6,Ni,[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C(C3C([H])C([H])C([H])C([H])C3[H]),3.56,3.6405,True,KOBQOL;SIXLIU01;VOQLEV;VOQLIZ
913552628028,2,2,2,2,1,6,Cu,O=S(=O)(O)C(F)(F)F;[H]C([H])([H])C(=O)C([H])([H])[H];[H]C1C([H])C2C([H])C([H])C3,3.56,3.7411,False,NEWDIG;NEWDIG01
883453393800,2,2,2,2,1,6,Co,Cl;Cl;[H]C([H])=C([H])C(=O)N([H])[H];[H]C([H])=C([H])C(=O)N([H])[H];[H]C([H])=C(,3.56,4.3103,False,QAPJUN;QAPJUN01
251383780093,2,2,2,2,1,6,Mn,Br;C#O;C#O;C#O;[H]C1C(C2=NC3C([H])C([H])C([H])C([H])C3N2[H])NC(C2=NC3C([H])C([H],3.54,3.5402,False,LAYTEN;LOGMIG
573851434535,2,2,2,2,1,5,Cu,O=[N+]([O-])O;[H]C(=O)C1C([H])C([H])C([H])C([H])C1O;[H]C1NC(C2NC([H])C([H])C([H],3.54,3.5922,False,XAPZAR;XAPZAR02
200138493305,5,5,5,3,1,4,Ir,C#O;[H]c1nc(P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(,3.53,3.5305,False,FEVQOQ;VEGMIH;VEGMUT;VEGNEE;VEGNOO
202833497811,2,2,2,2,2,5,Fe,C#O;C#O;[H]N(C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H]),3.53,6.5944,True,LOCNEY;OCURIQ
372005424038,2,2,2,2,1,6,Mn,C#O;C#O;C#O;[H]c1c(C([H])([H])[H])nn(C([H])(C(=O)O)n2nc(C([H])([H])[H])c([H])c2C,3.52,3.5201,False,ABUBII;BAGSAG
494765060276,10,10,10,6,2,6,Zn,[H]C1C(C(=O)O)NC2C([H])C([H])C([H])C([H])C2C1[H];[H]C1C(C(=O)O)NC2C([H])C([H])C(,3.52,10.3159,True,DUJTEK;DUJTUA;DUJVEM;DUJVIQ;DUJWIR;DUJWOX
642415341150,2,2,2,2,2,6,Mo,N#CC(S)=C(S)C#N;N#CC(S)=C(S)C#N;N#CC(S)=C(S)C#N,3.52,3.6434,True,EHUMIG;IBOHUE
175567195841,2,2,2,2,1,5,V,O;[H]C([H])([H])C([H])([H])O;[H]OC1C([H])C([H])C([H])C([H])C1C(O)=NN=C(C([H])=C(,3.52,6.0984,False,QESGUQ;QESGUQ02
738767564367,2,2,2,2,2,6,Mn,O=S(=O)(O)C(F)(F)F;[H]C1NC(C([H])(N([H])C2([H])C([H])([H])C([H])([H])C([H])([H]),3.51,5.6051,True,CIMHEN;CIMHOX
171328546140,3,3,3,2,2,5,Mn,C#O;C#O;[H]c1c(C([H])([H])P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C(,3.51,6.2903,True,DOHTAY;DOHTIG;DOHTIG01
452682840471,2,2,2,2,2,5,Fe,[H]C(NC1C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([,3.51,6.6855,True,QIPVOC;QIPVOC01
51672503312,3,3,3,3,2,4,Cu,[H]C1NC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H];[H]C1NC(C2NC([H])C([H])C([H,3.5,9.4947,True,RIYJUH;RIYKAO;RIYKES
73499409013,29,29,24,7,1,6,Fe,[H]c1c(C([H])([H])[H])nn(C2NC(n3nc(C([H])([H])[H])c([H])c3[H])C([H])NC2[H])c1[H],3.49,5.3029,True,JAFBOI02;JAFBOI03;JAFBUO02;JAFBUO03;JAFBUO04;JAFBUO05
547719525075,2,2,2,2,2,5,Cu,[H]C1NC([H])C(C(=O)N([H])[H])C([H])C1[H];[H]OC1C([H])C(C(=O)O)NC2C(O)C([H])C([H],3.49,3.8733,False,LOPQOY;LOPQUE
725085657974,3,3,3,2,2,5,Cu,Cl;Cl;[H]C1C([H])C2C([H])C([H])C(C([H])([H])[H])NC2C2NC(C([H])([H])[H])C([H])C([,3.49,6.624,True,PNTRCU11;PNTRCU12;PNTRCU15
902702908553,2,2,2,1,1,6,Fe,[H]C1C(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])NC(C([H])([H]),3.48,5.1233,True,KIWWIZ;KIWWOF
