refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
QAPZIT,Re,,,6,"C,Cl,N",4.1000,5.9000,4.1000,194853844558,652165962083,143335875844
QAQGEY,Os,,,6,"C,N,O",3.8000,5.7600,3.8000,707899067777,179943343323,810323632056
QAQJAU,Re,,,6,"C,N,S",5.5100,5.9300,5.5100,41918875783,473274869734,825114898787
QAQJEY,Re,,,6,"C,N,O,S",6.0300,7.9200,6.0300,449227121454,94986733633,718824750055
QAQMED,Cu,+2,d9,4,"Cl,N",0.3100,5.8000,0.3100,218947170847,155426843448,473306840074
QAQREI,Fe,+2,d6,4,"N,O",3.8800,6.0000,3.8800,93926788515,854776096631,606713449873
QAQREI01,Fe,+2,d6,4,N,3.8600,7.3100,3.8600,13439643964,414927422,606713449873
QAQSAF,Fe,+2,d6,4,"N,O",3.6800,8.7200,3.6800,824553624896,66099498433,8496987319
QAQSIK,Mn,,,4,,3.9600,7.2500,3.9600,211802517277,923230491106,930862277865
QAQSIL,Re,,,6,"C,N,P",5.6500,5.7700,5.6500,229139051293,1265464069,673967007893
QAQSOR,Re,,,6,"C,N,P",5.6300,9.7000,5.6300,35579579004,10327936732,246462958032
QAQVUZ,Re,,,6,"Cl,N,O,P",4.3800,10.0800,4.3800,818445180484,514799931878,152097078996
QAQWIO,W,,,6,"C,P",4.3700,7.2200,4.3700,484335822426,520333318881,248294911796
QAQWOU,W,,,6,"C,P",6.0300,8.0700,6.0300,864195624487,560172359296,357352721832
QAQWOX,Ni,+2,d8,4,"N,O",0.0200,5.8100,0.0200,318469968118,862523408301,909474315293
QAQWUD,Ru,+2,d6,5,"Cl,N,O",4.2700,7.7100,4.2700,940461001425,984544352196,678488751167
QAQXIS,Ru,+2,d6,5,"Cl,N,O",3.2200,9.1100,3.2200,43977362918,997076331075,485471247988
QAQXOY,Ru,+2,d6,5,"Cl,N,O",4.2500,8.6400,4.2500,599829705337,98989308674,654128513849
QAQXUE,Ru,+2,d6,5,"Cl,N,O",5.8000,7.6600,5.8000,550508460682,269662044869,339140132514
QAQYEP,Ru,+2,d6,5,"Cl,N,O",5.4600,6.7000,5.4600,84193047469,719843099422,972032248352
QAQYIT,Ru,+2,d6,5,"Cl,N,O",6.3200,6.5500,6.3200,981020576249,831874428052,499069444476
QAQYOZ,Ru,+2,d6,5,"Cl,N,O",5.5000,6.7400,5.5000,183933727672,621926221737,214423364314
QAQYUF,Ru,+2,d6,5,"Cl,N,O",6.6100,12.8900,6.6100,398137499791,549195795979,442922755775
QAQZAM,Ru,+2,d6,5,"Cl,N,O",0.5400,6.1700,0.5400,439009556228,429048870670,442922755775
QAQZEQ,Ru,+2,d6,5,"I,N,O",4.8000,7.4700,4.8000,472398988677,261729110765,225249823400
QAQZIU,Ru,+2,d6,5,"I,N,O",5.0200,7.3500,5.0200,953797704470,843269459992,513283799026
QAQZOA,Ru,+2,d6,5,"I,N,O",4.7000,6.2400,4.7000,347719505496,40177341301,212760444226
QARBET,Ru,+2,d6,5,"Cl,N,O",4.3800,4.8600,4.3800,876683313876,408203900387,233245301762
QARDUL,Ni,+2,d8,4,"N,O",5.3900,5.6000,5.3900,560743603865,436663052752,317656306733
QARFAT,Ni,+2,d8,4,"N,O",4.0600,8.7400,4.0600,583679616831,291445570813,17326553850
QARFEX,Ni,+2,d8,4,"N,O",4.0200,4.3300,4.0200,753537420871,61639344973,256298473946
QARJID,Ni,+2,d8,4,N,6.1800,7.1000,6.1800,604250545495,612626226166,210483622793
QARKIE,Cd,,,5,"N,O",5.8000,9.1700,5.8000,736673997620,882993101267,820031507677
QARMOM,Re,,,6,"Br,N",6.7700,7.2600,6.7700,547523287144,940354361978,38621244342
QARMUS,Re,,,6,"N,O",4.0900,9.0800,4.0900,638782174620,930622185189,844669645583
QARPEF,Fe,+2,d6,4,"Cl,N",4.0100,4.6800,4.0100,500272178234,217074706519,222387525666
QARRAF,Mo,,,5,"Cl,N",0.1600,5.4000,0.1600,245079419634,416721756693,37913444346
QARRAG,Ru,+2,d6,5,P,5.5100,6.5900,5.5100,56442157163,946318828145,715575527247
