refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,delta_TBPY_SPY,is_intermediate_delta_lt_1,L3_key_hash
DUVHOT,Zn,+2,d10,,,0.5100,0.9300,-0.2147,0.0128,0.4200,True,878132452280
DUVKAK,Cu,+2,d9,"N,O",1-1,0.7200,6.5600,-0.0862,0.8235,5.8400,False,972021347054
DUVMUD,Zn,+2,d10,,,0.4000,0.6300,-0.3010,-0.1367,0.2300,True,964349472094
DUVVUP,Cu,+2,d9,N,1-1,0.7500,2.9100,-0.0706,0.4786,2.1600,False,570742372925
DUVWAW,Cu,+2,d9,N,1-1,0.4900,6.4200,-0.2291,0.8142,5.9300,False,3525140361
DUVWUQ,Cu,+2,d9,N,1-1,5.2600,5.4300,0.7292,0.7427,0.1700,True,81116427550
DUWJUC,Zn,+2,d10,,,0.3300,0.7200,-0.3665,-0.0862,0.3900,True,842907148856
DUWTIZ,Cu,+2,d9,N,1-1,10.0400,15.5700,1.0060,1.1951,5.5300,False,724657359390
DUWWEY,Co,+3,d6,"N,O",1-1,12.1000,11.8100,1.0864,1.0759,0.2900,True,746233681559
DUXQUK,Ir,,,"C,N,P",1-1-1-1,0.5000,1.4300,-0.2218,0.1847,0.9300,True,618092551706
DUXRAR,Ir,,,"C,O,P",1-1-1-1,5.9000,6.0400,0.7782,0.7882,0.1400,True,726799402124
DUXREU,Zn,+2,d10,,,0.6800,1.5500,-0.1079,0.2175,0.8700,True,394946613851
DUXROE,Zn,+2,d10,,,0.7500,1.5900,-0.0706,0.2279,0.8400,True,787211186291
DUYSUN,Fe,+2,d6,P,1-1,0.6700,5.4500,-0.1135,0.7443,4.7800,False,239070279909
DUYTAU,Os,,,,,6.1500,6.2900,0.7959,0.8055,0.1400,True,395375595766
DUYTEY,Os,,,,,6.1800,6.3200,0.7980,0.8075,0.1400,True,822518457663
DUYYIG01,V,,,,,7.0000,10.8400,0.8513,1.0390,3.8400,False,223401204088
DUZCUZ,Cu,+2,d9,N,1-1,0.3900,6.3000,-0.3098,0.8062,5.9100,False,607917098583
DUZNIV,Cr,,,C,1-1-1-1,0.0500,1.2400,-0.8239,0.1271,1.1900,False,402606621283
DUZTOJ,Co,+2,d7,"N,P",1-1,0.3300,5.6900,-0.3665,0.7627,5.3600,False,115109800395
DUZVAX,Fe,+2,d6,"N,P",1-1,4.7400,6.0600,0.6848,0.7896,1.3200,False,379124051452
DUZZIH,Zn,+2,d10,,,0.8200,1.0300,-0.0362,0.0531,0.2100,True,500709011084
EACMCO,Co,+2,d7,"N,O",4,0.1400,0.8900,-0.6198,-0.0044,0.7500,True,25524856831
EACWAG,Zn,+2,d10,,,4.8900,5.8600,0.6981,0.7752,0.9700,True,82408443736
EACYNF,Fe,+2,d6,,,5.1000,5.6500,0.7160,0.7597,0.5500,True,799181189267
EAEIOV10,V,,,,,4.7700,5.4200,0.6875,0.7419,0.6500,True,128874180257
EAEIOV11,V,,,,,4.7200,5.3700,0.6830,0.7380,0.6500,True,810285454730
EAMOSF,Mo,,,,,0.5600,0.5800,-0.1805,-0.1675,0.0200,True,808639171471
EAMOSF10,Mo,,,,,0.5600,0.5800,-0.1805,-0.1675,0.0200,True,808639171471
EBAKEA,Ni,+2,d8,N,2,3.8200,4.2600,0.5933,0.6395,0.4400,True,724222162921
EBASAF,Cu,+2,d9,"N,O",1-1-1-1,0.3700,0.5100,-0.3279,-0.2147,0.1400,True,749979223101
EBAXAG,Cu,+2,d9,N,2,11.4000,8.6400,1.0607,0.9415,2.7600,False,8470505821
EBEZAQ,Zn,+2,d10,,,5.0900,5.7100,0.7152,0.7642,0.6200,True,50031778178
EBEZOE,Zn,+2,d10,,,4.9000,6.1700,0.6990,0.7973,1.2700,False,28661045928
EBEZUK,Zn,+2,d10,,,4.3300,6.0200,0.6464,0.7868,1.6900,False,262232962689
EBIHOP,Fe,+2,d6,,,5.4200,6.5000,0.7419,0.8195,1.0800,False,699459475205
EBILEK,Fe,+2,d6,,,12.6200,13.6600,1.1045,1.1386,1.0400,False,554576606935
EBIWOC,Cu,+2,d9,"N,O",2-1-1,4.8200,6.8400,0.6920,0.8414,2.0200,False,625476155919
EBOLEN,Cr,,,,,0.4800,5.7200,-0.2366,0.7649,5.2400,False,721867217833
EBOLIR,Mo,,,,,0.3100,0.9400,-0.3872,0.0170,0.6300,True,460384763224
EBOLOX,W,,,,,5.2800,5.8400,0.7308,0.7738,0.5600,True,737369287925
EBOLUD,Mo,,,,,4.7300,5.8400,0.6839,0.7738,1.1100,False,562689070785
EBORIX,Cu,+2,d9,O,2,10.1100,11.4600,1.0090,1.0630,1.3500,False,68375505510
EBORUJ,Cu,+2,d9,"N,O",3-1,10.3600,7.9000,1.0195,0.9031,2.4600,False,615932051987
EBOSOD,Pt,+2,d8,"C,N",2-1-1,5.6100,6.2500,0.7566,0.8028,0.6400,True,247572489785
EBOWEX,V,,,,,4.9400,5.5700,0.7024,0.7536,0.6300,True,319179732982
EBOZOM,Fe,+2,d6,"N,O",1-1,1.1200,5.1800,0.0864,0.7226,4.0600,False,468434218280
EBUFIQ,Cr,,,C,1-1-1-1,0.0500,0.9800,-0.8239,0.0334,0.9300,True,402606621283
EBUZAC,V,,,,,4.4200,5.7500,0.6551,0.7672,1.3300,False,736196761893
EBUZEG,V,,,,,0.5900,4.6600,-0.1612,0.6776,4.0700,False,824155641199
EBUZIK,V,,,,,4.4400,6.0700,0.6571,0.7903,1.6300,False,567475738546
ECADIX,Fe,+2,d6,N,2,0.1500,0.5500,-0.6021,-0.1871,0.4000,True,845605135652
ECADOC,Co,+2,d7,S,2-2,0.6100,5.8300,-0.1487,0.7731,5.2200,False,541881437670
ECAFIX02,Cu,+2,d9,,,8.7300,10.1400,0.9460,1.0103,1.4100,False,988364380723
ECAFIX04,Cu,+2,d9,,,10.2200,9.3600,1.0137,0.9759,0.8600,True,988364380723
