subtask,method,pool_id,n_candidates,n_positives,n_negatives,top1_correct,top1_score,top5_has_correct
A_same_metal_cn,random_same_donor,MOF_ACUFUR,12,6,1,False,0.8576,False
A_same_metal_cn,random_same_donor,MOF_ACUFUR01,12,6,1,False,0.9926,True
A_same_metal_cn,random_same_donor,MOF_ACUQEX,23,3,8,False,0.9655,False
A_same_metal_cn,random_same_donor,MOF_ACUQUO,24,7,3,True,0.9602,True
A_same_metal_cn,random_same_donor,MOF_ADAXIP,58,35,14,True,0.9853,True
A_same_metal_cn,random_same_donor,MOF_ADEFAS,58,27,19,False,0.9946,True
A_same_metal_cn,random_same_donor,MOF_ADEFEW,58,27,19,False,0.9914,True
A_same_metal_cn,random_same_donor,MOF_ADEFOG,58,27,19,False,0.993,True
B_same_metal,coordrep_full,MOF_ABAMIC,10,3,3,True,0.7467,True
B_same_metal,coordrep_full,MOF_ABAVOP,35,1,15,True,0.6208,True
B_same_metal,coordrep_full,MOF_ABAVUV,64,14,9,True,0.6371,True
B_same_metal,coordrep_full,MOF_ABAXIN,45,19,15,True,0.8818,True
B_same_metal,coordrep_full,MOF_ABAXOT,45,19,13,True,0.7,True
B_same_metal,coordrep_full,MOF_ABAXUZ,45,21,14,True,1.0,True
B_same_metal,coordrep_full,MOF_ABAYAE,23,9,10,True,0.6964,True
B_same_metal,coordrep_full,MOF_ABAYAG,45,21,14,True,1.0,True
B_same_metal,coordrep_full,MOF_ABAZAF,45,22,12,True,1.0,True
B_same_metal,coordrep_full,MOF_ABAZEJ,45,1,18,True,0.6312,True
B_same_metal,coordrep_full,MOF_ABEDET01,64,14,9,True,0.6371,True
B_same_metal,coordrep_full,MOF_ABEMUR,25,6,5,True,1.0,True
B_same_metal,coordrep_full,MOF_ABETEJ,148,30,60,True,1.0,True
B_same_metal,coordrep_full,MOF_ABEWEN,35,1,16,True,0.8846,True
B_same_metal,coordrep_full,MOF_ABIFEX,32,8,8,True,0.6208,True
B_same_metal,coordrep_full,MOF_ABIQAE,17,2,9,False,0.5982,True
B_same_metal,coordrep_full,MOF_ABIRAF,25,6,5,True,0.65,True
B_same_metal,coordrep_full,MOF_ABIREJ,25,6,5,True,0.65,True
B_same_metal,coordrep_full,MOF_ABIRIN,25,6,5,True,0.65,True
B_same_metal,coordrep_full,MOF_ABIVEO,64,2,10,False,0.6105,True
B_same_metal,coordrep_full,MOF_ABIWEN,30,6,15,True,0.625,True
B_same_metal,coordrep_full,MOF_ABIWOY,148,2,97,True,0.613,True
B_same_metal,coordrep_full,MOF_ABIXIU,148,55,50,True,1.0,True
B_same_metal,coordrep_full,MOF_ABIYUJ,45,24,12,True,1.0,True
B_same_metal,coordrep_full,MOF_ABOBIC,62,9,25,False,0.6108,False
B_same_metal,coordrep_full,MOF_ABOBUQ,25,4,5,True,0.6625,True
B_same_metal,coordrep_full,MOF_ABOCUP,148,55,50,True,0.8583,True
B_same_metal,coordrep_full,MOF_ABOKAD,25,4,5,True,0.6625,True
B_same_metal,coordrep_full,MOF_ABOSET,148,37,50,True,0.6208,True
B_same_metal,coordrep_full,MOF_ABOSIX,148,16,93,True,0.84,True
B_same_metal,coordrep_full,MOF_ABOSOC,23,2,11,False,0.7143,True
B_same_metal,coordrep_full,MOF_ABOSUJ,148,1,87,False,0.5686,False
B_same_metal,coordrep_full,MOF_ABOTUG,35,1,15,True,0.6208,True
B_same_metal,coordrep_full,MOF_ABOTUG01,64,19,9,True,1.0,True
B_same_metal,coordrep_full,MOF_ABOTUG02,35,1,9,True,0.6417,True
B_same_metal,coordrep_full,MOF_ABOTUG03,64,1,45,True,0.8067,True
B_same_metal,coordrep_full,MOF_ABOWIA,148,47,55,True,1.0,True
B_same_metal,coordrep_full,MOF_ABUFOU,32,9,8,True,0.6208,True
B_same_metal,coordrep_full,MOF_ABUFUA,75,5,30,True,0.6208,True
B_same_metal,coordrep_full,MOF_ABUHAJ,11,4,1,True,0.7443,True
B_same_metal,coordrep_full,MOF_ABULUG,17,5,7,True,1.0,True
B_same_metal,coordrep_full,MOF_ABUQEU,18,1,5,True,0.65,True
B_same_metal,coordrep_full,MOF_ABZCUH,17,3,7,False,0.6074,True
B_same_metal,coordrep_full,MOF_ABZCUH01,17,3,7,False,0.6074,True
B_same_metal,coordrep_full,MOF_ABZCUH02,17,3,7,False,0.6074,True
B_same_metal,coordrep_full,MOF_ABZCUH03,17,3,7,False,0.6074,True
B_same_metal,coordrep_full,MOF_ACABEM,23,10,10,True,0.6538,True
B_same_metal,coordrep_full,MOF_ACAGEQ,62,15,24,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACAGOB,17,2,8,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACAJEU,148,47,55,True,0.65,True
B_same_metal,coordrep_full,MOF_ACAJIY,11,1,9,False,0.6323,True
B_same_metal,coordrep_full,MOF_ACAJOG,23,9,10,True,0.8875,True
B_same_metal,coordrep_full,MOF_ACAKEX,148,49,51,True,0.8583,True
B_same_metal,coordrep_full,MOF_ACAKUO,17,1,15,True,0.7114,True
B_same_metal,coordrep_full,MOF_ACALID,17,4,7,True,0.875,True
B_same_metal,coordrep_full,MOF_ACAQII,17,4,7,True,0.875,True
B_same_metal,coordrep_full,MOF_ACASUT,30,2,18,True,0.65,True
B_same_metal,coordrep_full,MOF_ACATIJ,25,8,5,True,0.9,True
B_same_metal,coordrep_full,MOF_ACAVOT,11,2,4,True,0.5757,True
B_same_metal,coordrep_full,MOF_ACBACU,148,56,52,True,0.8667,True
B_same_metal,coordrep_full,MOF_ACEBOA,17,5,9,True,0.6208,True
B_same_metal,coordrep_full,MOF_ACEDUJ,148,26,60,True,1.0,True
B_same_metal,coordrep_full,MOF_ACEKEZ,32,1,19,True,0.5592,True
B_same_metal,coordrep_full,MOF_ACEKOK,17,5,7,True,1.0,True
B_same_metal,coordrep_full,MOF_ACELIF,62,15,18,True,1.0,True
