subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
S3,schnet_3d,1,11,dipole_moment,8,16,21,2.3429937499999998,0.5478155549764633,1.0,0.0
S3,schnet_3d,1,11,hl_gap_ev,8,18,24,0.30640020912983335,0.23600412354964334,0.6666666666666666,0.0
S3,schnet_3d,1,22,dipole_moment,8,16,21,2.3429937499999998,1.2062264031410215,0.9375,0.0
S3,schnet_3d,1,22,hl_gap_ev,8,18,24,0.30640020912983335,0.4037501627587077,0.2777777777777778,0.0
S3,schnet_3d,1,33,dipole_moment,8,16,21,2.3429937499999998,1.0589714368104934,1.0,0.0
S3,schnet_3d,1,33,hl_gap_ev,8,18,24,0.30640020912983335,0.42165954296710617,0.3333333333333333,0.0
S3,schnet_3d,2,11,dipole_moment,6,10,16,2.2966,0.36652623027801523,1.0,0.0
S3,schnet_3d,2,11,hl_gap_ev,5,10,13,0.22811305090009998,0.5991420268757159,0.5,0.0
S3,schnet_3d,2,22,dipole_moment,6,10,16,2.2966,0.7567769861221315,1.0,0.0
S3,schnet_3d,2,22,hl_gap_ev,5,10,13,0.22811305090009998,0.4228400592201619,0.3,0.0
S3,schnet_3d,2,33,dipole_moment,6,10,16,2.2966,1.6057222763061525,0.8,0.0
S3,schnet_3d,2,33,hl_gap_ev,5,10,13,0.22811305090009998,0.3778257803541405,0.5,0.0
S3,schnet_3d,3,11,dipole_moment,6,6,12,3.267116666666667,1.5762078283309935,1.0,0.0
S3,schnet_3d,3,11,hl_gap_ev,9,10,19,0.4795734711994,0.4547399892558349,0.7,0.0
S3,schnet_3d,3,22,dipole_moment,6,6,12,3.267116666666667,1.9588514087676996,0.8333333333333334,0.0
S3,schnet_3d,3,22,hl_gap_ev,9,10,19,0.4795734711994,0.4628995151144871,0.8,0.0
S3,schnet_3d,3,33,dipole_moment,6,6,12,3.267116666666667,1.032123557535807,1.0,0.0
S3,schnet_3d,3,33,hl_gap_ev,9,10,19,0.4795734711994,0.4438830844442331,0.6,0.0
S3,schnet_3d,4,11,dipole_moment,6,7,13,2.3667000000000002,1.03971975239345,1.0,0.0
S3,schnet_3d,4,11,hl_gap_ev,7,10,18,0.23186822220210002,0.1940250772437936,0.7,0.0
S3,schnet_3d,4,22,dipole_moment,6,7,13,2.3667000000000002,0.9676868577139722,1.0,0.0
S3,schnet_3d,4,22,hl_gap_ev,7,10,18,0.23186822220210002,0.20328391121498285,0.7,0.0
S3,schnet_3d,4,33,dipole_moment,6,7,13,2.3667000000000002,1.0676711163112096,1.0,0.0
S3,schnet_3d,4,33,hl_gap_ev,7,10,18,0.23186822220210002,0.21326885506037638,0.4,0.0
