refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
DODGAH,Cu,4,3.8800,1.9600,0.5999,0.3139
YOYWOB,Pd,4,3.0400,0.2000,0.4969,-0.5229
VIVZOQ,Pt,4,3.1500,0.3400,0.5119,-0.3565
VUCQOA,Pd,4,9.1100,3.1800,0.9643,0.5159
LONFOM,Pd,4,9.2000,2.9700,0.9685,0.4871
SACZEF,Cu,4,2.4700,0.7000,0.4099,-0.0969
NOTXAZ,Pt,4,8.6900,3.0700,0.9440,0.5011
YORFOD,Mn,4,7.1000,2.7200,0.8573,0.4502
XENMOS,Pd,4,2.9800,0.2100,0.4886,-0.5086
YAFHUK,Zn,4,2.9000,0.0200,0.4771,-0.9208
KADDOJ,Ag,4,10.2500,5.4500,1.0149,0.7443
OGAZAB,Co,4,3.0600,0.0100,0.4997,-0.9586
MICTOJ,Ni,4,8.5700,2.6700,0.9380,0.4425
KORCON,Cu,4,2.8800,0.0000,0.4742,-1.0000
QEHSOL,Pt,4,2.9500,0.0900,0.4843,-0.7212
ETOVAL,Ni,4,2.9400,0.0600,0.4829,-0.7959
EZAHES01,Cd,4,2.5900,0.0200,0.4298,-0.9208
OWAMUW,Co,4,2.9500,0.0200,0.4843,-0.9208
VOGLAG,Zn,4,3.0000,0.1300,0.4914,-0.6383
SEKKEA,Pd,4,3.2700,0.6300,0.5276,-0.1367
KUQBII01,Au,4,2.9200,0.0600,0.4800,-0.7959
TIFTEH,Zn,4,4.5000,0.3100,0.6628,-0.3872
ZONJIX,Pt,4,3.5700,0.8300,0.5647,-0.0315
TOGFEC,Pt,4,3.1600,0.3000,0.5132,-0.3979
WOZCAP,Ni,4,3.9300,0.9800,0.6053,0.0334
HOWQES,Mn,4,2.9600,0.0100,0.4857,-0.9586
HAYSEH,Zn,4,8.3000,5.4700,0.9243,0.7459
HINRIG,Ni,4,2.9300,0.0500,0.4814,-0.8239
WIDVAH,Ni,4,8.5000,12.5900,0.9345,1.1035
KIWQEO,Pt,4,8.7400,2.8900,0.9465,0.4757
MIMLUP,Pd,4,8.9200,3.3300,0.9552,0.5353
ETAQEW,Pt,4,8.6200,2.8800,0.9405,0.4742
GEWFIB,Pt,4,3.3100,0.5000,0.5328,-0.2218
YEKHEC,Pd,4,3.5000,0.8200,0.5563,-0.0362
TELBEV,Cu,4,3.0000,0.1500,0.4914,-0.6021
WURGIB,Zn,4,2.9900,0.4300,0.4900,-0.2757
LOQTUH,Pt,4,8.4500,3.1000,0.9320,0.5051
ECIBEY,Pd,4,9.4300,11.7100,0.9791,1.0722
MOTWIC,Ni,4,10.1400,10.9100,1.0103,1.0418
TUTFAR,Pd,4,8.6100,3.0700,0.9400,0.5011
RARZIV,Hg,4,2.9700,1.1100,0.4871,0.0828
UXEPUL,Mn,4,2.5800,0.0200,0.4281,-0.9208
UHUPIZ,Mo,4,2.8500,5.4800,0.4698,0.7466
PADWOJ,Pt,4,4.0900,1.4700,0.6222,0.1959
TABZOM,Cu,4,2.9400,0.0600,0.4829,-0.7959
KICSUM,Pd,4,8.2200,2.9800,0.9201,0.4886
PAWQEK,Pd,4,9.2700,13.3100,0.9717,1.1274
AKISEW,Zn,4,5.8900,1.1400,0.7774,0.0934
SOGVEQ01,Ni,4,7.6200,2.8700,0.8876,0.4728
DOQWEM,Mn,4,6.4600,1.8700,0.8169,0.2945
AXIKAV,Pt,4,8.4600,2.6700,0.9325,0.4425
NOKHUS,Zn,4,2.9100,0.4300,0.4786,-0.2757
FAZHIY,Pd,4,9.4900,2.9800,0.9818,0.4886
BULVOU,Pt,4,3.3700,0.5200,0.5403,-0.2076
BZQXPD04,Pd,4,3.2600,0.3300,0.5263,-0.3665
